Date,"Influenza"
2016-10-17,332
2016-10-18,294
2016-10-19,261
2016-10-20,255
2016-10-21,267
2016-10-22,197
2016-10-23,166
2016-10-24,263
2016-10-25,251
2016-10-26,225
2016-10-27,295
2016-10-28,187
2016-10-29,193
2016-10-30,179
2016-10-31,190
2016-11-01,173
2016-11-02,289
2016-11-03,246
2016-11-04,261
2016-11-05,225
2016-11-06,240
2016-11-07,257
2016-11-08,288
2016-11-09,224
2016-11-10,254
2016-11-11,229
2016-11-12,219
2016-11-13,282
2016-11-14,231
2016-11-15,291
2016-11-16,279
2016-11-17,309
2016-11-18,246
2016-11-19,212
2016-11-20,218
2016-11-21,260
2016-11-22,297
2016-11-23,320
2016-11-24,238
2016-11-25,262
2016-11-26,212
2016-11-27,192
2016-11-28,316
2016-11-29,266
2016-11-30,276
2016-12-01,363
2016-12-02,335
2016-12-03,271
2016-12-04,313
2016-12-05,335
2016-12-06,360
2016-12-07,274
2016-12-08,290
2016-12-09,362
2016-12-10,378
2016-12-11,371
2016-12-12,441
2016-12-13,449
2016-12-14,496
2016-12-15,377
2016-12-16,343
2016-12-17,376
2016-12-18,368
2016-12-19,528
2016-12-20,472
2016-12-21,507
2016-12-22,450
2016-12-23,428
2016-12-24,399
2016-12-25,492
2016-12-26,569
2016-12-27,753
2016-12-28,878
2016-12-29,762
2016-12-30,638
2016-12-31,655
2017-01-01,552
2017-01-02,811
2017-01-03,855
2017-01-04,791
2017-01-05,768
2017-01-06,690
2017-01-07,609
2017-01-08,645
2017-01-09,671
2017-01-10,584
2017-01-11,624
2017-01-12,718
2017-01-13,566
2017-01-14,534
2017-01-15,536
2017-01-16,507
2017-01-17,588
2017-01-18,520
2017-01-19,487
2017-01-20,478
2017-01-21,419
2017-01-22,442
2017-01-23,536
2017-01-24,553
2017-01-25,432
2017-01-26,427
2017-01-27,355
2017-01-28,368
2017-01-29,364
2017-01-30,386
2017-01-31,348
2017-02-01,396
2017-02-02,395
2017-02-03,370
2017-02-04,321
2017-02-05,394
2017-02-06,439
2017-02-07,301
2017-02-08,318
2017-02-09,375
2017-02-10,302
2017-02-11,254
2017-02-12,247
2017-02-13,305
2017-02-14,291
2017-02-15,312
2017-02-16,301
2017-02-17,321
2017-02-18,229
2017-02-19,241
2017-02-20,287
2017-02-21,277
2017-02-22,274
2017-02-23,264
2017-02-24,215
2017-02-25,181
2017-02-26,199
2017-02-27,263
2017-02-28,239
2017-03-01,240
2017-03-02,236
2017-03-03,224
2017-03-04,172
2017-03-05,232
2017-03-06,240
2017-03-07,222
2017-03-08,216
2017-03-09,161
2017-03-10,151
2017-03-11,159
2017-03-12,190
2017-03-13,206
2017-03-14,191
2017-03-15,161
2017-03-16,194
2017-03-17,184
2017-03-18,151
2017-03-19,134
2017-03-20,216
2017-03-21,201
2017-03-22,188
2017-03-23,196
2017-03-24,160
2017-03-25,128
2017-03-26,168
2017-03-27,178
2017-03-28,176
2017-03-29,182
2017-03-30,204
2017-03-31,167
2017-04-01,126
2017-04-02,158
2017-04-03,153
2017-04-04,164
2017-04-05,194
2017-04-06,147
2017-04-07,164
2017-04-08,121
2017-04-09,146
2017-04-10,162
2017-04-11,190
2017-04-12,150
2017-04-13,143
2017-04-14,113
2017-04-15,96
2017-04-16,106
2017-04-17,123
2017-04-18,147
2017-04-19,183
2017-04-20,168
2017-04-21,141
2017-04-22,122
2017-04-23,127
2017-04-24,153
2017-04-25,137
2017-04-26,180
2017-04-27,135
2017-04-28,155
2017-04-29,130
2017-04-30,96
